cowcode,stateabb,statename,ethnicity_relevant,year_from,year_to,group_name,size,status,warid,warid2,groupid,cowgroupid,markertype
325,IT,Italy,Yes,1946,1971,Italians,0.99,MONOPOLY,,,1000,32501000,Ethno-Linguistic
325,IT,Italy,Yes,1972,2010,Italians,0.99,MONOPOLY,,,1000,32501000,Ethno-Linguistic
290,POL,Poland,Yes,1990,2010,Poles___,0.988,MONOPOLY,,,1000,29001000,Ethno-Linguistic
290,POL,Poland,Yes,1946,1967,Poles___,0.98,DOMINANT,,,1000,29001000,Ethno-Linguistic
290,POL,Poland,Yes,1968,1989,Poles___,0.98,DOMINANT,,,1000,29001000,Ethno-Linguistic
450,LBR,Liberia,Yes,1946,1980,Indigenous Peoples,0.98,DISCRIMINATED,24700,,3000,45003000,Ethno-Racial
510,TAZ,Tanzania,Yes,1961,1964,African Tanganyikans,0.98,MONOPOLY,,,1000,51001000,Ethno-Racial
371,ARM,Armenia,Yes,1991,2010,Armenians,0.979,MONOPOLY,,,1000,37101000,Mixed Category
220,FR,France,Yes,1946,1961,French,0.976,MONOPOLY,,,1000,22001000,Ethno-Linguistic
220,FR,France,Yes,1962,1991,French,0.976,MONOPOLY,,,1000,22001000,Ethno-Linguistic
220,FR,France,Yes,1992,2010,French,0.976,MONOPOLY,,,1000,22001000,Ethno-Linguistic
740,JPN,Japan,Yes,1952,1958,Japanese,0.973,MONOPOLY,,,3000,74003000,Ethno-Linguistic
740,JPN,Japan,Yes,1959,1971,Japanese,0.973,MONOPOLY,,,3000,74003000,Ethno-Linguistic
740,JPN,Japan,Yes,1972,1983,Japanese,0.973,MONOPOLY,,,3000,74003000,Ethno-Linguistic
740,JPN,Japan,Yes,1984,2010,Japanese,0.973,MONOPOLY,,,3000,74003000,Ethno-Linguistic
350,GRC,Greece,Yes,1946,2010,Greeks,0.97,MONOPOLY,,,1000,35001000,Ethno-Linguistic
552,ZIM,Zimbabwe,Yes,1965,1979,Africans,0.97,DISCRIMINATED,22200,,1000,55201000,Ethno-Racial
41,HAI,Haiti,Yes,1946,1956,Blacks,0.95,JUNIOR PARTNER,,,1000,4101000,Ethno-Racial
41,HAI,Haiti,Yes,1957,2010,Blacks,0.95,SENIOR PARTNER,,,1000,4101000,Ethno-Racial
165,URU,Uruguay,No,1946,1988,Uruguayans,0.95,IRRELEVANT,,,1000,16501000,Ethno-Racial
339,ALB,Albania,Yes,1946,1989,Albanians,0.95,MONOPOLY,,,1000,33901000,Ethno-Linguistic
339,ALB,Albania,Yes,1990,2010,Albanians,0.95,MONOPOLY,,,1000,33901000,Ethno-Linguistic
150,PAR,Paraguay,Yes,1946,1992,Paraguayans,0.943,MONOPOLY,,,1000,15001000,Ethno-Linguistic
150,PAR,Paraguay,Yes,1993,2010,Paraguayans,0.943,MONOPOLY,,,1000,15001000,Ethno-Linguistic
316,CZR,Czech Republic,Yes,1993,2010,Czechs,0.943,MONOPOLY,,,1000,31601000,Ethno-Linguistic
210,NL,Netherlands,Yes,1946,1956,Dutch,0.94,MONOPOLY,,,1000,21001000,Mixed Category
510,TAZ,Tanzania,Yes,1965,1992,African Tanganyikans,0.94,SENIOR PARTNER,,,1000,51001000,Ethno-Regional
510,TAZ,Tanzania,Yes,1993,2010,African Tanganyikans,0.94,SENIOR PARTNER,,,1000,51001000,Ethno-Regional
42,DOM,Dominican Republic,Yes,1946,2010,Dominicans,0.93,MONOPOLY,,,1000,4201000,Ethno-Linguistic
94,COS,Costa Rica,Yes,1946,1948,Costa Ricans,0.93,MONOPOLY,,,1000,9401000,Ethno-Racial
94,COS,Costa Rica,Yes,1949,2010,Costa Ricans,0.93,DOMINANT,,,1000,9401000,Ethno-Racial
305,AU,Austria,Yes,1955,2010,Austrians,0.93,MONOPOLY,,,1000,30501000,Ethno-Linguistic
375,FI,Finland,Yes,1946,2010,Finns,0.93,SENIOR PARTNER,,,1000,37501000,Ethno-Linguistic
155,CHL,Chile,Yes,1946,1973,Chileans,0.92,DOMINANT,,,1000,15501000,Mixed Category
155,CHL,Chile,Yes,1974,1989,Chileans,0.92,MONOPOLY,,,1000,15501000,Mixed Category
155,CHL,Chile,Yes,1990,2010,Chileans,0.92,DOMINANT,,,1000,15501000,Mixed Category
165,URU,Uruguay,Yes,1989,2010,Uruguayans,0.92,DOMINANT,,,1000,16501000,Ethno-Racial
91,HON,Honduras,Yes,1946,1978,Hondurans,0.91,MONOPOLY,,,1000,9101000,Mixed Category
91,HON,Honduras,Yes,1979,2010,Hondurans,0.91,DOMINANT,,,1000,9101000,Mixed Category
811,CAM,Cambodia,Yes,1975,1978,Khmer,0.91,SENIOR PARTNER,,,3000,81103000,Ethno-Linguistic
310,HUN,Hungary,Yes,1946,1989,Hungarians,0.9,MONOPOLY,,,1000,31001000,Ethno-Linguistic
310,HUN,Hungary,Yes,1990,2010,Hungarians,0.9,MONOPOLY,,,1000,31001000,Ethno-Linguistic
373,AZE,Azerbaijan,Yes,1991,2010,Azeri,0.9,DOMINANT,,,1000,37301000,Ethno-Linguistic
432,MLI,Mali,Yes,1960,1990,"Blacks (Mande, Peul, Voltaic etc.)",0.9,MONOPOLY,,,1000,43201000,Ethno-Cultural
432,MLI,Mali,Yes,1991,1993,"Blacks (Mande, Peul, Voltaic etc.)",0.9,SENIOR PARTNER,,,1000,43201000,Ethno-Cultural
432,MLI,Mali,Yes,1994,1995,"Blacks (Mande, Peul, Voltaic etc.)",0.9,MONOPOLY,,,1000,43201000,Ethno-Cultural
432,MLI,Mali,Yes,1996,2010,"Blacks (Mande, Peul, Voltaic etc.)",0.9,SENIOR PARTNER,,,1000,43201000,Ethno-Cultural
651,EGY,Egypt,Yes,1946,2010,Arab Muslims,0.9,DOMINANT,,,1000,65101000,Ethno-Religious
344,CRO,Croatia,Yes,1994,2007,Croats,0.896,DOMINANT,,,1000,34401000,Ethno-Religious
344,CRO,Croatia,Yes,2008,2010,Croats,0.896,SENIOR PARTNER,,,1000,34401000,Ethno-Religious
360,ROM,Romania,Yes,1946,1988,Romanians,0.895,DOMINANT,,,1000,36001000,Ethno-Linguistic
360,ROM,Romania,Yes,1989,1995,Romanians,0.895,DOMINANT,,,1000,36001000,Ethno-Linguistic
360,ROM,Romania,Yes,1996,2010,Romanians,0.895,SENIOR PARTNER,,,1000,36001000,Ethno-Linguistic
347,KOS,Kosovo,Yes,2008,2010,Albanians,0.88,SENIOR PARTNER,,,1000,34701000,Ethno-Linguistic
811,CAM,Cambodia,Yes,1979,2010,Khmer,0.88,SENIOR PARTNER,,,3000,81103000,Ethno-Linguistic
652,SYR,Syria,Yes,1958,1960,Sunni Arabs,0.87,DOMINANT,,,2000,65202000,Ethno-Religious
771,BNG,Bangladesh,Yes,1972,1981,Muslims,0.87,DOMINANT,,,2000,77102000,Ethno-Religious
771,BNG,Bangladesh,Yes,1982,2010,Muslims,0.87,DOMINANT,,,2000,77102000,Ethno-Religious
920,NEW,New Zealand,Yes,1946,1989,New Zealanders,0.865,SENIOR PARTNER,,,2000,92002000,Ethno-Racial
920,NEW,New Zealand,Yes,1990,2010,New Zealanders,0.865,SENIOR PARTNER,,,2000,92002000,Ethno-Racial
101,Ven,Venezuela,No,1946,1988,Venezuelans,0.862,IRRELEVANT,,,1000,10101000,Mixed Category
101,Ven,Venezuela,Yes,1989,1999,Venezuelans,0.862,DOMINANT,,,1000,10101000,Mixed Category
101,Ven,Venezuela,Yes,2000,2010,Venezuelans,0.862,DOMINANT,,,1000,10101000,Mixed Category
712,MON,Mongolia,Yes,1946,2010,Mongols,0.86,DOMINANT,,,3000,71203000,Ethno-Linguistic
840,PHI,Philippines,Yes,1946,1970,Christian lowlanders,0.859,MONOPOLY,,,1000,84001000,Mixed Category
840,PHI,Philippines,Yes,1971,1985,Christian lowlanders,0.859,DOMINANT,,,1000,84001000,Mixed Category
840,PHI,Philippines,Yes,1986,1988,Christian lowlanders,0.859,DOMINANT,,,1000,84001000,Mixed Category
840,PHI,Philippines,Yes,1989,2010,Christian lowlanders,0.859,DOMINANT,,,1000,84001000,Mixed Category
95,PAN,Panama,Yes,1946,1972,Panamans,0.853,DOMINANT,,,1000,9501000,Mixed Category
95,PAN,Panama,Yes,1973,1983,Panamans,0.853,DOMINANT,,,1000,9501000,Mixed Category
95,PAN,Panama,Yes,1984,1996,Panamans,0.853,DOMINANT,,,1000,9501000,Mixed Category
95,PAN,Panama,Yes,1997,1998,Panamans,0.853,DOMINANT,,,1000,9501000,Mixed Category
95,PAN,Panama,Yes,1999,2000,Panamans,0.853,DOMINANT,,,1000,9501000,Mixed Category
95,PAN,Panama,Yes,2001,2010,Panamans,0.853,DOMINANT,,,1000,9501000,Mixed Category
70,MEX,Mexico,Yes,1946,1974,Mestizo,0.85,DOMINANT,,,1000,7001000,Ethno-Racial
70,MEX,Mexico,Yes,1975,1994,Mestizo,0.85,DOMINANT,,,1000,7001000,Ethno-Racial
70,MEX,Mexico,Yes,1995,2010,Mestizo,0.85,DOMINANT,,,1000,7001000,Ethno-Racial
210,NL,Netherlands,Yes,1957,1982,Dutch,0.85,MONOPOLY,,,1000,21001000,Mixed Category
210,NL,Netherlands,Yes,1983,2010,Dutch,0.85,SENIOR PARTNER,,,1000,21001000,Mixed Category
516,BUI,Burundi,Yes,1962,1965,Hutu,0.85,SENIOR PARTNER,19000,,1000,51601000,Ethno-Racial
516,BUI,Burundi,Yes,1966,1988,Hutu,0.85,DISCRIMINATED,,,1000,51601000,Ethno-Racial
516,BUI,Burundi,Yes,1989,1993,Hutu,0.85,JUNIOR PARTNER,19001,,1000,51601000,Ethno-Racial
516,BUI,Burundi,Yes,1994,2001,Hutu,0.85,POWERLESS,19001,,1000,51601000,Ethno-Racial
516,BUI,Burundi,Yes,2002,2010,Hutu,0.85,SENIOR PARTNER,19001,,1000,51601000,Ethno-Racial
701,TKM,Turkmenistan,Yes,1991,2002,Turkmen,0.85,DOMINANT,,,13000,70113000,Ethno-Linguistic
701,TKM,Turkmenistan,Yes,2003,2010,Turkmen,0.85,DOMINANT,,,13000,70113000,Ethno-Linguistic
93,NIC,Nicaragua,No,1946,1964,Nicaraguans (Mestizo),0.845,IRRELEVANT,,,1000,9301000,Mixed Category
93,NIC,Nicaragua,Yes,1965,1973,Nicaraguans (Mestizo),0.845,MONOPOLY,,,1000,9301000,Mixed Category
93,NIC,Nicaragua,Yes,1974,2010,Nicaraguans (Mestizo),0.845,MONOPOLY,,,1000,9301000,Mixed Category
517,RWA,Rwanda,Yes,1962,1994,Hutu,0.84,MONOPOLY,,,1000,51701000,Ethno-Racial
517,RWA,Rwanda,Yes,1995,2000,Hutu,0.84,DISCRIMINATED,28102,,1000,51701000,Ethno-Racial
517,RWA,Rwanda,Yes,2001,2010,Hutu,0.84,POWERLESS,28102,,1000,51701000,Ethno-Racial
713,TAW,Taiwan,Yes,1949,1971,Taiwanese,0.84,DISCRIMINATED,,,3000,71303000,Ethno-Linguistic
713,TAW,Taiwan,Yes,1972,1999,Taiwanese,0.84,JUNIOR PARTNER,,,3000,71303000,Ethno-Linguistic
713,TAW,Taiwan,Yes,2000,2007,Taiwanese,0.84,SENIOR PARTNER,,,3000,71303000,Ethno-Linguistic
713,TAW,Taiwan,Yes,2008,2010,Taiwanese,0.84,JUNIOR PARTNER,,,3000,71303000,Ethno-Linguistic
811,CAM,Cambodia,Yes,1970,1974,Khmer,0.84,SENIOR PARTNER,,,3000,81103000,Ethno-Linguistic
900,AUL,Australia,Yes,1946,1962,Whites,0.84,DOMINANT,,,3000,90003000,Ethno-Racial
900,AUL,Australia,Yes,1963,2010,Whites,0.84,DOMINANT,,,3000,90003000,Ethno-Racial
368,LIT,Lithuania,Yes,1991,2010,Lithuanians,0.835,DOMINANT,,,1000,36801000,Ethno-Linguistic
