year,tri_facility_id,facility_name,street_address,city,county,st,zip,latitude,longitude,primary_sic,sic_2,sic_3,sic_4,sic_5,sic_6,primary_naics,naics_2,naics_3,naics_4,naics_5,naics_6,doc_ctrl_num,chemical,cas_compound_id,clean_air_act_chemical,classification,metal,metal_category,carcinogen,form_type,unit_of_measure,n_5_1_fugitive_air,n_5_2_stack_air,n_5_3_water,n_5_4_1_underground_class_i,n_5_4_2_underground_class_ii_v,n_5_5_1a_rcra_c_landfills,n_5_5_1b_other_landfills,n_5_5_2_land_treatment,n_5_5_3_surface_impoundment,n_5_5_3a_rcra_c_surface_impoundment,n_5_5_3b_other_surface_impoundment,n_5_5_4_other_disposal,on_site_release_total,n_6_1_potw_metals_and_metal_compounds,n_6_1_potw_non_metals,n_6_1_potw_total_transfers,n_6_2_m10,n_6_2_m41,n_6_2_m62,n_6_2_m71,n_6_2_m81,n_6_2_m82,n_6_2_m72,n_6_2_m63,n_6_2_m66,n_6_2_m67,n_6_2_m64,n_6_2_m65,n_6_2_m73,n_6_2_m79,n_6_2_m90,n_6_2_m94,n_6_2_m99,off_site_release_total,n_6_2_m20,n_6_2_m24,n_6_2_m26,n_6_2_m28,n_6_2_m93,off_site_recycled_total,n_6_2_m56,n_6_2_m92,off_site_recovery_total,n_6_2_m40,n_6_2_m50,n_6_2_m54,n_6_2_m61,n_6_2_m69,n_6_2_m95,off_site_treated_total,total_releases,n_8_1_releases,n_8_1a_on_site_contained_releases,n_8_1b_on_site_other_releases,n_8_1c_off_site_contained_releases,n_8_1d_off_site_other_releases,n_8_2_energy_recovery_on_site,n_8_3_energy_recovery_off_site,n_8_4_recycling_on_site,n_8_5_recycling_off_site,n_8_6_treatment_on_site,n_8_7_treatement_off_site,production_waste_8_1_thru_8_7,n_8_8_one_time_release,n_8_9_production_ratio,parent_company_name,parent_company_db_number,serialid
2011,14605THGNS445ST,HIGH FALLS OPERATING CO LLC,445 SAINT PAUL ST,ROCHESTER,MONROE,NY,14605,43.164448,-77.616186,,,,,,,312120,,,,,,1311209163498,POLYCYCLIC AROMATIC COMPOUNDS,N590,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,1
2011,14605THGNS445ST,HIGH FALLS OPERATING CO LLC,445 SAINT PAUL ST,ROCHESTER,MONROE,NY,14605,43.164448,-77.616186,,,,,,,312120,,,,,,1311209163486,"BENZO(G,H,I)PERYLENE",000191242,YES,PBT,NO,0,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,NA,2
2011,14870CRNNGADDIA,CORNING INC - INTEGRATED DIE MANUFACTURING,905 ADDISON RD,PAINTED POST,STEUBEN,NY,14870,42.115702,-77.145883,,,,,,,332710,,,,,,1311209406329,NITRIC ACID,007697372,NO,NON-PBT,NO,0,NO,R,Pounds,5,250,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189371,0,189371,255,0,0,330,0,0,0,0,0,0,143427,189371,333128,0,1.3,CORNING INC,001307735,3
2011,12015TLNTCSCHOH,NORTHEAST TREATERS OF NEW YORK  LLC,796 SCHOHARIE TPKE,ATHENS,GREENE,NY,12015,42.28652,-73.839693,,,,,,,321114,,,,,,1311209690700,COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTHEAST TREATERS INC,NA,4
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289762,CYCLOHEXANE,000110827,NO,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,5
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289824,TOLUENE,000108883,YES,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,6
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289774,ETHYLBENZENE,000100414,YES,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,7
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289812,NAPHTHALENE,000091203,YES,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,8
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289747,AMMONIA,007664417,NO,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,9
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289723,ACETALDEHYDE,000075070,YES,NON-PBT,NO,0,YES,R,Pounds,0,7040,0,0,0,0,0,0,0,0,0,0,7040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7040,0,0,7040,0,0,0,0,0,0,0,0,7040,0,2.07,SUNOCO INC,057152217,10
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289836,XYLENE (MIXED ISOMERS),001330207,YES,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,11
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289750,BENZENE,000071432,YES,NON-PBT,NO,0,YES,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,12
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289786,FORMALDEHYDE,000050000,YES,NON-PBT,NO,0,YES,R,Pounds,0,1826,0,0,0,0,0,0,0,0,0,0,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0,0,1826,0,0,0,0,0,0,0,0,1826,0,3.5,SUNOCO INC,057152217,13
2011,14209SMSWD980EL,OSMOSE INC,980 ELLICOTT ST,BUFFALO,ERIE,NY,14209,42.90465,-78.86592,,,,,,,325320,,,,,,1311209104809,BIFENTHRIN,082657043,NO,NON-PBT,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OSMOSE INC,NA,14
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289711,"1,2,4-TRIMETHYLBENZENE",000095636,NO,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,15
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289735,ACROLEIN,000107028,YES,NON-PBT,NO,0,NO,R,Pounds,0,462,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,462,0,0,0,0,0,0,0,0,462,0,0.17,SUNOCO INC,057152217,16
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289800,N-HEXANE,000110543,YES,NON-PBT,NO,0,NO,A,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUNOCO INC,057152217,17
2011,1306WSNCFL376WE,SUNOCO FULTON ETHANOL PLANT,376 OWENS RD,FULTON,OSWEGO,NY,13069,43.297583,-76.381222,,,,,,,325193,,,,,,1311209289798,METHANOL,000067561,YES,NON-PBT,NO,0,NO,R,Pounds,0,2420,0,0,0,0,0,0,0,0,0,0,2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420,0,0,2420,0,0,0,0,0,0,0,0,2420,0,1.1,SUNOCO INC,057152217,18
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226442,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,NON-PBT,YES,1,NO,R,Pounds,11.1,10.8,0.5,0,0,0,0,0,0,0,0,0,22.4,1.3,0,1.3,0,15.938,0.003,0,0,0,0,0,0,0,2216,0,0,0,0,0,0,2231.941,0,448.25,0,0,521.65,969.9,0,0,0,0,0,0,0,0,0,0,2255.641,0,0,22.4,2217.2896,15.9491,0,0,29749,969.9,0,0,32974.5387,0,0.83,MCWANE INC,004001715,19
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226493,MANGANESE COMPOUNDS,N450,YES,NON-PBT,YES,1,NO,R,Pounds,131,184,6.8,0,0,0,0,0,0,0,0,0,321.8,16.5,0,16.5,0,339.383,0.041,0,0,0,0,0,0,0,94875,0,0,0,0,0,0,95214.424,0,14890.6,1215.45,0,16496.27,32602.32,0,0,0,0,0,0,0,0,0,0,95552.724,0,0,321.8,94891.434,339.4735,0,0,143411,32602.32,0,0,271566.0275,0,0.83,MCWANE INC,004001715,20
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226455,COBALT COMPOUNDS,N096,YES,NON-PBT,YES,1,YES,R,Pounds,39.9,132.4,0.3,0,0,0,0,0,0,0,0,0,172.6,0.6,0,0.6,0,84.95,0,0,0,0,0,0,0,0,23719,0,0,0,0,0,0,23803.95,0,39.3,0,0,656.2,695.5,0,0,0,0,0,0,0,0,0,0,23977.15,0,0,172.6,23719.5976,84.9518,0,0,0,695.5,0,0,24672.6494,0,0.83,MCWANE INC,004001715,21
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226481,LEAD COMPOUNDS,N420,YES,PBT,YES,1,NO,R,Pounds,15,8,1.2,0,0,0,0,0,0,0,0,0,24.2,6.4,0,6.4,0,350.566,0.301,0,0,0,0,0,0,0,1075.56,0,0,0,0,0,0,1426.427,0,13430.24,0.04,0,178.22,13608.5,0,0,0,0,0,0,0,0,0,0,1457.027,0,0,24.2,1080.36,352.4506,0,0,46.29,13608.5,0,0,15111.8006,0,0.83,MCWANE INC,004001715,22
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226430,ARSENIC COMPOUNDS,N020,YES,NON-PBT,YES,1,NO,R,Pounds,0.13,0.39,0.09,0,0,0,0,0,0,0,0,0,0.61,0.25,0,0.25,0,0.0254,0.001,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.0264,0,39.32,0.04,0,0.21,39.57,0,0,0,0,0,0,0,0,0,0,3.8864,0,0,0.61,3.229,0.04675,0,0,0,39.57,0,0,43.45575,0.0004,0.83,MCWANE INC,004001715,23
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226467,COPPER COMPOUNDS,N100,NO,NON-PBT,YES,1,NO,R,Pounds,52.6,5.7,3.3,0,0,0,0,0,0,0,0,0,61.6,31,0,31,0,135.553,0.37,0,0,0,0,0,0,0,37950,0,0,0,0,0,0,38085.923,0,452420.8,486.18,0,1882.64,454789.62,0,0,0,0,0,0,0,0,0,0,38178.523,0,0,61.6,37980.845,136.047,0,0,38894,454789.62,0,0,531862.112,0,0.83,MCWANE INC,004001715,24
2011,14901KNNDY1021E,KENNEDY VALVE,1021 E WATER ST,ELMIRA,CHEMUNG,NY,14901,42.09277,-76.786313,,,,,,,331511,332911,,,,,1311209226505,NICKEL COMPOUNDS,N495,YES,NON-PBT,YES,1,NO,R,Pounds,28.6,30,0.3,0,0,0,0,0,0,0,0,0,58.9,2.2,0,2.2,0,85.346,0.004,0,0,0,0,0,0,0,23719,0,0,0,0,0,0,23804.35,0,35713,303.86,0,1039.45,37056.31,0,0,0,0,0,0,0,0,0,0,23865.45,0,0,58.9,23721.1912,85.3566,0,0,12299,37056.31,0,0,73220.7578,0,0.83,MCWANE INC,004001715,25
